Lat.,Lon.,Layer,Time,WA_U,WA_D,WA_R,RUD
35.309459,139.667027,1,0,17.72,10.15,37.17,0.17
35.309459,139.671532,1,0,17.68,10.49,37.46,0.17
35.309459,139.676036,1,0,17.67,10.69,37.63,0.17
35.309459,139.680541,1,0,17.76,10.63,37.65,0.17
35.309459,139.685045,1,0,17.78,10.52,37.58,0.17
35.309459,139.68955,1,0,17.85,10.29,37.35,0.18
35.309459,139.694054,1,0,17.76,10.05,36.99,0.18
35.309459,139.698559,1,0,17.72,9.77,36.58,0.18
35.309459,139.703063,1,0,17.63,9.59,36.12,0.18
35.309459,139.707568,1,0,17.49,9.44,35.62,0.18
35.309459,139.712072,1,0,17.43,9.27,35.05,0.18
35.309459,139.716577,1,0,17.28,9.26,34.51,0.18
35.309459,139.721081,1,0,17.19,9.19,33.91,0.18
35.309459,139.725586,1,0,17.11,9.2,33.33,0.18
35.309459,139.73009,1,0,17.02,9.31,32.79,0.18
35.309459,139.734595,1,0,16.99,9.4,32.23,0.18
35.309459,139.739099,1,0,16.98,9.57,31.75,0.18
35.309459,139.743604,1,0,17.03,9.71,31.24,0.18
35.309459,139.748108,1,0,17.14,9.82,30.74,0.18
35.309459,139.752613,1,0,17.27,9.85,30.19,0.18
35.309459,139.757117,1,0,17.45,9.72,29.57,0.19
35.309459,139.761622,1,0,17.65,9.41,28.89,0.2
35.309459,139.766126,1,0,17.84,9.03,28.23,0.2
35.309459,139.770631,1,0,17.98,8.63,27.6,0.21
35.309459,139.775135,1,0,18.08,8.45,27.14,0.22
35.309459,139.77964,1,0,18.07,8.03,26.55,0.22
35.313964,139.653514,1,0,17.06,8.32,35.57,0.17
35.313964,139.658018,1,0,17.66,9.53,36.67,0.18
35.313964,139.662523,1,0,17.95,10.16,37.25,0.18
35.313964,139.667027,1,0,17.9,10.59,37.61,0.17
35.313964,139.671532,1,0,17.78,10.79,37.78,0.17
35.313964,139.676036,1,0,17.7,10.82,37.82,0.17
35.313964,139.680541,1,0,17.72,10.76,37.79,0.17
35.313964,139.685045,1,0,17.73,10.56,37.6,0.17
